Index,Price,Open,High,Low,Vol.,Change %
273,386.25,383.5,387.5,382,153.73K,0.59%
274,390.75,385.75,391.25,385.25,177.03K,1.17%
275,390,390.25,391,384.75,176.19K,-0.19%
276,389.25,389.25,391.75,386.25,151.94K,-0.19%
277,383.25,386.75,387.75,383,145.37K,-1.54%
278,381.75,383.25,384.75,380.5,157.13K,-0.39%
279,378.75,382.25,385,377.5,185.34K,-0.79%
280,375.25,379.25,380,373.75,219.15K,-0.92%
281,377.25,375.25,383.75,372.5,343.77K,0.53%
282,373.25,376,377,372.5,211.22K,-1.06%
283,377.75,373.5,378,372.75,220.51K,1.21%
284,375.25,377,377.75,375,195.98K,-0.66%
285,375.75,375.25,377.5,374.5,144.89K,0.13%
286,371.25,375.5,376.5,370.75,140.18K,-1.20%
287,367.75,371,371.75,367.5,206.27K,-0.94%
288,370,367.75,373,367.75,202.02K,0.61%
289,366.75,369.75,370.5,365.75,297.02K,-0.88%
290,368.5,366.75,369.75,366.25,158.70K,0.48%
291,368.75,368,370.25,367.5,228.11K,0.07%
292,370.5,368.75,372.75,368.25,199.30K,0.47%
293,367.5,369.75,370.5,367,207.68K,-0.81%
294,362.75,367.25,368.75,362.25,163.97K,-1.29%
295,373.5,373.5,373.5,373.5,-,2.96%
296,371.25,365.75,372.25,365,15.51K,-0.60%
297,380.75,380.75,380.75,380.75,-,2.56%
298,373.5,371.75,375.5,370,6.28K,-1.90%
299,372,373.75,376.25,371.5,4.94K,-0.40%
300,368.75,371.75,373.5,367.75,2.99K,-0.87%
301,365.5,368.5,369.75,365.25,3.03K,-0.88%
302,366.5,364.75,368.75,364.75,0.96K,0.27%
303,365.75,366.5,368,365,0.64K,-0.20%
304,363.25,365.75,367,362.5,0.89K,-0.68%
305,357.75,363,363,357,0.26K,-1.51%
306,367,358.25,368.75,358.25,0.66K,2.59%
307,366.25,373.75,374.5,366.25,0.09K,-0.20%
308,388,383.5,389.5,383.25,180.90K,5.94%
309,390,387.5,390.5,386.25,118.24K,0.52%
310,387,389.25,390,385.75,125.53K,-0.77%
311,386.5,387,389,385,99.13K,-0.13%
312,387.75,386.5,389.5,386,85.33K,0.32%
313,388.75,388,390.25,387.25,82.26K,0.26%
314,387.5,388.5,389,387,50.42K,-0.32%
315,388.25,388.25,388.25,388.25,-,0.19%
316,388.5,388,389,386.5,49.93K,0.06%
317,390,388,391,388,85.21K,0.39%
318,388.25,389.25,392,386.75,123.53K,-0.45%
319,387.75,388.25,389.75,386.25,85.10K,-0.13%
320,387.25,387.25,387.25,387.25,-,-0.13%
321,391.5,387.75,392,387.25,103.99K,1.10%
322,386.5,391.5,392,385.5,125.93K,-1.28%
323,384.75,386.25,387.75,382.75,112.13K,-0.45%
324,384.5,385,385.75,383.5,93.54K,-0.06%
325,384.25,384,385.5,382.25,135.52K,-0.07%
326,383.25,383.75,387,382.25,130.94K,-0.26%
327,385.75,383.25,386.75,376.5,226.66K,0.65%
328,389.5,386.5,389.5,385.5,139.99K,0.97%
329,389,389.25,390.5,388.25,115.96K,-0.13%
330,387.5,388.75,390.25,386.5,141.48K,-0.39%
331,375.5,387.25,387.75,375.25,230.56K,-3.10%
332,389.25,377,389.5,376.75,293.12K,3.66%
333,387.5,389,389.25,384.25,182.96K,-0.45%
334,388.75,387.5,391,386.75,155.60K,0.32%
335,393.75,388.5,394,387.5,256.30K,1.29%
336,387.25,393.25,393.25,386.5,196.12K,-1.65%
337,380.5,384.25,384.75,377.25,264.47K,-1.74%
338,386.5,382.5,387,378.5,243.27K,1.58%
339,384.25,385.5,388.25,382.75,136.81K,-0.58%
