"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 12, 2019","61.00","60.70","61.05","60.50","4.02K","0.49%"
"Dec 13, 2019","60.48","60.75","60.83","60.27","-","-0.85%"
"Dec 16, 2019","70.50","69.53","70.90","69.08","22.36K","16.57%"
"Dec 17, 2019","69.85","70.20","71.00","69.40","22.57K","-0.92%"
"Dec 18, 2019","69.90","69.67","70.40","69.33","16.05K","0.07%"
"Dec 19, 2019","70.97","69.90","71.00","69.53","18.53K","1.53%"
"Dec 20, 2019","70.67","70.85","71.22","70.30","15.25K","-0.42%"
"Dec 23, 2019","70.25","70.67","71.30","69.47","17.34K","-0.59%"
"Dec 24, 2019","70.70","70.12","70.92","69.62","8.95K","0.64%"
"Dec 25, 2019","70.80","70.80","70.80","70.80","-","0.14%"
"Dec 26, 2019","70.90","71.05","71.50","70.05","9.91K","0.14%"
"Dec 27, 2019","70.58","70.75","71.03","69.83","12.70K","-0.45%"
"Dec 30, 2019","71.80","71.25","71.90","70.60","18.76K","1.73%"
"Dec 31, 2019","71.42","71.70","71.88","70.83","12.23K","-0.53%"
"Jan 01, 2020","71.25","71.25","71.25","71.25","-","-0.24%"
"Jan 02, 2020","71.55","71.60","72.60","70.78","23.80K","0.42%"
"Jan 03, 2020","68.55","70.60","70.90","68.55","25.40K","-4.19%"
"Jan 06, 2020","68.62","68.95","69.22","67.55","20.02K","0.10%"
"Jan 07, 2020","69.22","68.62","69.35","68.03","23.54K","0.87%"
"Jan 08, 2020","69.03","68.78","70.20","68.60","30.28K","-0.27%"
"Jan 09, 2020","67.03","68.90","69.00","66.47","36.76K","-2.90%"
"Jan 10, 2020","67.25","67.33","68.22","66.88","31.73K","0.33%"
"Jan 13, 2020","65.90","66.97","67.05","65.58","28.89K","-2.01%"
"Jan 14, 2020","67.67","65.67","68.22","65.67","35.08K","2.69%"
"Jan 15, 2020","67.88","67.60","68.05","66.78","17.42K","0.31%"
"Jan 16, 2020","66.88","67.67","68.17","66.33","15.66K","-1.47%"
